鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
淡水區,房地(土地+建物)+車位,新北市淡水區興福寮77巷61~90號,151.66,,山坡地保育區,丙種建築用地,1080415,土地4建物1車位1,六層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1050604,292.43,0,0,0,無,有,49150000,168074,坡道平面,33.98,0,,RPWOMLPJQHOFFEF96CA
淡水區,房地(土地+建物)+車位,新北市淡水區新民街120巷31~60號,20.36,住,,,1080607,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0810508,181.63,4,2,2,有,有,7300000,40194,坡道平面,35.87,0,,RPQPMLKMPHOFFEF78CA
淡水區,房地(土地+建物)+車位,新北市淡水區沙崙路一段121~150號,17.96,住,,,1021001,土地1建物1車位1,十五層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080306,122.0,2,1,1,有,有,8870000,82372,坡道平面,30.1,1300000,,RPUPMLQLPHOFFEF07CA
淡水區,房地(土地+建物)+車位,新北市淡水區沙崙路一段121~150號,27.96,住,,,1030216,土地1建物1車位1,二十層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080306,172.85000000000002,3,2,2,有,有,15300000,98074,坡道平面,30.1,1300000,,RPWPMLQLPHOFFEF27CA
淡水區,房地(土地+建物)+車位,新北市淡水區新市三路一段31~60號,16.72,住,,,1050308,土地1建物1車位1,八層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080222,114.43,2,1,2,有,有,8550000,78179,坡道平面,25.02,1560000,,RPURMLRJQHOFFEF27CA
瑞芳區,土地,柑子瀨段柑子瀨小段1290031~1290060地號,98.0,,鄉村區,乙種建築用地,1080623,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,880000,8980,,0.0,0,未辦保存登記建物一併移轉。,RPQNMLTJPHOFFFF66CA
三重區,房地(土地+建物),新北市三重區忠孝路一段21巷1~30號,25.75,住,,,1080616,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0620221,62.84,3,2,1,有,無,7800000,124125,,0.0,0,含增建或未登記建物。;,RPSNMLPJPHOFFGF56CA
三重區,房地(土地+建物)+車位,新北市三重區集英路31~60號,23.55,住,,,1080519,土地1建物1車位1,九層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0951228,145.13,3,2,2,有,有,13400000,92331,升降平面,23.87,0,含增建或未登記建物。;,RPUPMLSJPHOFFGF27CA
蘆洲區,房地(土地+建物),新北市蘆洲區民權路3巷1~30號,40.69,住,,,1080507,土地1建物1車位0,二層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0671223,117.0,0,0,0,無,無,8300000,70940,,0.0,0,,RPOOMLTJPHOFFGF66CA
三重區,車位,新北市三重區重新路五段609巷1~30號,3.49,工,,,1080618,土地0建物0車位1,地下三層,十層,其他,見其他登記事項,鋼筋混凝土造,0810521,28.84,0,0,0,有,有,1450000,,坡道平面,28.84,1450000,親友、員工或其他特殊關係間之交易。;土地交易總價：1176000元整。建物交易總價：274000元整內含5%營業稅。,RPOQMLMKPHOFFGF88CA
三重區,房地(土地+建物),新北市三重區仁愛街129巷1~30號,32.25,住,,,1080419,土地1建物1車位0,二層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0660908,90.0,3,2,1,有,無,7300000,81111,,0.0,0,,RPRQMLMKPHOFFGF56CA
三重區,房地(土地+建物),新北市三重區永福街211巷31~60號,23.0,住,,,1080626,土地1建物1車位0,六層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0890622,119.65,3,2,2,有,有,10360000,86586,,0.0,0,,RPTPMLKKPHOFFGF09CA
蘆洲區,房地(土地+建物),新北市蘆洲區長榮路631~660號,20.0,住,,,1080604,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820504,111.60000000000001,3,2,2,有,有,10400000,93190,,0.0,0,,RPSQMLLKPHOFFGF56CA
三重區,房地(土地+建物),新北市三重區中正北路151~180號,12.55,住,,,1080611,土地1建物1車位0,七層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1070705,110.45,3,2,2,有,有,15120000,136895,,0.0,0,,RPOPMLKMPHOFFGF78CA
蘆洲區,房地(土地+建物),新北市蘆洲區民族路426巷61~90號,22.66,住,,,1080531,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0720527,86.96,3,1,1,有,無,12000000,137994,,0.0,0,,RPOSMLNLPHOFFGF66CA
三重區,房地(土地+建物)+車位,新北市三重區進安街31~60號,22.65,住,,,1080521,土地1建物1車位1,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951228,151.65,3,2,2,有,有,15500000,102209,坡道平面,37.36,0,含增建或未登記建物。;,RPWPMLNLPHOFFGF17CA
三重區,房地(土地+建物),新北市三重區仁愛街271~300號,7.53,商,,,1080525,土地1建物1車位0,二層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851129,60.72,1,1,1,有,有,6500000,107049,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPRQMLNLPHOFFGF76CA
蘆洲區,房地(土地+建物),新北市蘆洲區長安街73巷1~30號,16.5,住,,,1080521,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0850719,64.42999999999999,2,1,1,有,無,5000000,77604,,0.0,0,,RPXQMLMLPHOFFGF27CA
