鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
士林區,車位,臺北市士林區德行西路31~60號,0.05,工,,,1080614,土地0建物0車位1,地下二層,十三層,其他,停車空間,鋼筋混凝土造,0970502,35.31,0,0,0,有,有,2100000,,坡道平面,35.31,2100000,,RPTNMLQKPHOFFEA78CA
士林區,車位,臺北市士林區德行西路31~60號,0.05,工,,,1080615,土地0建物0車位1,地下二層,十三層,其他,停車空間,鋼筋混凝土造,0970502,35.31,0,0,0,有,有,1850000,,坡道平面,35.31,1850000,,RPUNMLQKPHOFFEA88CA
北投區,房地(土地+建物),臺北市北投區石牌路一段58巷1~30號,20.54,住,,,1080522,土地2建物1車位0,三層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,1051129,75.25,1,1,1,有,無,14850000,197342,,0.0,0,,RPSPMLLKPHOFFEA38CA
北投區,房地(土地+建物)+車位,臺北市北投區文林北路16巷1~30號,68.52,住,,,1080613,土地1建物1車位1,三層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1021021,212.62,4,2,2,有,有,36000000,169316,坡道平面,0.0,0,受債權債務影響或債務抵償之交易。;交易總額內含抵償債務金額1425萬元整。,RPWNMLKKPHOFFEA48CA
士林區,房地(土地+建物),臺北市士林區福華路1~30號,16.85,住,,,1080611,土地1建物1車位0,七層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1070709,109.39,3,2,2,有,有,26280000,240241,,0.0,0,,RPQQMLQLPHOFFEA88CA
士林區,土地,天玉段三小段391~420地號,119.0,住,,,1080321,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1057600,8887,,0.0,0,,RPSQMLQLPHOFFEA09CA
北投區,房地(土地+建物),臺北市北投區杏林二路1~30號,28.0,住,,,1080515,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0721228,132.19,3,2,2,有,無,20000000,151297,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPSNMLLMPHOFFEA38CA
大安區,房地(土地+建物),臺北市大安區師大路105巷1~30號,6.45,住,,,1080606,土地1建物1車位0,七層,十層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0961127,37.54,1,1,1,有,有,11560000,307938,,0.0,0,含增建或未登記建物。;,RPSNMLPJPHOFFFA58CA
大安區,房地(土地+建物),臺北市大安區四維路91~120號,30.0,住,,,1080505,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),,加強磚造,0551004,87.33,3,2,1,有,無,20500000,234742,,0.0,0,含增建或未登記建物。;,RPPNMLPJPHOFFFA28CA
大安區,房地(土地+建物)+車位,臺北市大安區信義路二段181~210號,19.5,商,,,1080531,土地2建物1車位1,六層,二十層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1070305,281.2,0,0,2,有,有,102000000,405210,坡道平面,39.35,4000000,"毛胚屋,車位土地交易總價280萬,車位建物交易總價120萬",RPQOMLSKPHOFFFA88CA
